Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
Anglian Water Services Limited,Wing Water Treatment Works,,Morcott Road,Oakham,Rutland,LE15,8SA,COMAH Upper Tier Operator,,2470,Rutland UA,England
Arch Timber Protection Limited,Huddersfield,Huddersfield Works,Leeds Road,Huddersfield,West Yorkshire,HD2,1YU,COMAH Upper Tier Operator, (was Arch UK Biocides Ltd),4715,Kirklees,England
Argenta Dundee Limited,Dundee,Dunsinane Industrial Estate,Kinnoull Road ,Dundee,Angus                         ,DD2,3XR,COMAH Upper Tier Operator, (was Vericore Limited),9059,Dundee UA,Scotland
Associated British Ports,Immingham Dock,Immingham Dock,,Immingham,Lincolnshire,DN40,2NS,COMAH Upper Tier Operator,,2002,North East Lincolnshire,England
Associated Petroleum Terminals (Immingham) Limited,Immingham,Main Terminal,Queens Road,Immingham,North East Lincolnshire ,DN40,2PN,COMAH Upper Tier Operator,,2002,North East Lincolnshire,England
Avanti Gas Limited,Ellesmere Port,,Britannia Road,Ellesmere Port,Cheshire,CH65 ,4HB,COMAH Upper Tier Operator, (was Shell Gas Limited),4325,Wirral,England
BAE Systems (Operations) Limited,Samlesbury,Samlesbury Aerodrome,,Blackburn,Lancashire,BB2,7LF,COMAH Upper Tier Operator,,2350,Ribble Valley,England
BAE Systems Global Combat Systems Munitions Limited,Glascoed,,,Usk,Monmouthshire,NP15,1XL,COMAH Upper Tier Operator, (was BAE Systems Land Systems (Munitions & Ordnance)),6840,Monmouthshire UA,Wales
BAE Systems Global Combat Systems Munitions Limited,Radway Green,Radway Green,,Nr Crewe,Cheshire,CW3,5PJ,COMAH Upper Tier Operator, (was BAE Systems Land Systems (Munitions & Ordnance)),0670,Cheshire East UA,England
Baker Hughes Limited,Liverpool,Knowsley Industrial Park,Kirkby Bank Road,Liverpool,Merseyside,L33 ,7SY,COMAH Upper Tier Operator,,4305,Knowsley,England
Bardyke Chemicals Limited,Glasgow,Hamilton Road,Cambuslang,Glasgow,Strathclyde,G72,7XL,COMAH Upper Tier Operator,,9077,South Lanarkshire UA,Scotland
Basell Polyolefins UK Limited,"Carrington, Manchester",Carrington Site,Isherwood Road,Manchester ,Greater Manchester,M31 ,4AL,COMAH Upper Tier Operator,,4245,Trafford,England
Beam Suntory UK Limited,Westhorn Maturation Site,,1780 London Road,Glasgow,City of Glasgow,G32,8XA,COMAH Upper Tier Operator,(was Beam Global UK Ltd),9067,Glasgow UA,Scotland
