,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
0,Anglian Water Services Limited,Wing Water Treatment Works,upper,Rutland UA,England,LE158SA,52.616952,-0.679148,351.14222707420504,198.5198664077093
1,Arch Timber Protection Limited,Huddersfield,upper,Kirklees,England,HD21YU,53.6629587342702,-1.755167,281.3668733165282,293.0784749262966
2,Argenta Dundee Limited,Dundee,upper,Dundee UA,Scotland,DD23XR,56.48105704229889,-3.00950120705657,212.28291589388158,553.0472578531007
3,Associated Petroleum Terminals (Immingham) Limited,Immingham,upper,North East Lincolnshire,England,DN402PN,53.6222029504326,-0.174614198143265,385.4752233377974,287.67525573114426
4,Avanti Gas Limited,Ellesmere Port,upper,Wirral,England,CH654HB,53.2863514492894,-2.91284508543136,203.44567987584387,262.5763285460098
5,BAE Systems (Operations) Limited,Samlesbury,upper,Ribble Valley,England,BB27LF,53.777778,-2.576444,227.7573497829698,305.4052258290353
6,BAE Systems Global Combat Systems Munitions Limited,Glascoed,upper,Monmouthshire UA,Wales,NP151XL,51.708898,-2.943911,194.23682704232164,123.71628643619579
7,Baker Hughes Limited,Liverpool,upper,Knowsley,England,L337SY,53.480419,-2.855105,208.14178127323058,279.6822346229019
8,Bardyke Chemicals Limited,Glasgow,upper,South Lanarkshire UA,Scotland,G727XL,55.80403910625311,-4.112506,140.20338569766847,494.8999127328607
9,Beam Suntory UK Limited,Westhorn Maturation Site,upper,Glasgow UA,Scotland,G328XA,55.836709,-4.191642,135.4904787342573,498.25523484115
10,Beiersdorf UK Limited,Holford Industrial Estate,upper,Birmingham,England,B67AX,52.519145,-1.882516,269.63977622313547,191.70437058564494
11,Black Cat Fireworks Limited,Huddersfield,upper,Kirklees,England,HD47AD,53.6292617482232,-1.82715756310664,276.5297475372372,290.21059405426695
12,BOC Limited,Margam Longlands Lane,upper,Neath & Port Talbot UA,Wales,SA132NS,51.56030866272209,-3.74697699828217,138.1515411248073,114.01830810044112
13,BOC Limited,Middlesbrough Tees Dock Road,upper,Redcar & Cleveland,England,TS67RT,54.59742233381311,-1.137913,323.6947395790254,376.2358729927396
14,BOC Limited,Scunthorpe,upper,North Lincolnshire,England,DN156XH,53.598232,-0.646546,354.32776847866364,285.7527398852526
15,BP Chemicals Limited,Saltend,upper,East Riding,England,HU128DS,53.7371148720965,-0.238837759530392,381.28259160155926,297.98560800315
16,BP Oil UK Limited,Buncefield Terminal,upper,Dacorum,England,HP27JA,51.765068,-0.427369,367.5810568458445,123.52004155397572
17,BP Oil UK Limited,Hamble BP Terminal ,upper,Eastleigh,England,SO314NR,50.8573965691304,-1.32129266089582,304.25501587999815,45.70050932089225
18,BP Oil UK Limited,Isle of Grain,upper,Medway Towns UA,England,ME30AY,51.45532,0.708936,446.1108194716793,96.71818456543315
19,Brenntag UK Limited,Lutterworth,upper,Harborough,England,LE174JA,52.4670544291698,-1.196868,315.91888405310266,185.8640074244504
20,Brenntag UK Limited,Thetford,upper,Breckland,England,IP241HP,52.425399396206,0.736931184790635,446.9580637428046,181.66651669158364
21,Brenntag UK Limited,Trafford,upper,Trafford,England,M171QB,53.4632662094217,-2.32325470921011,243.23709907633278,276.56101600585725
